PROLIFIC_PID,target,row_index,cond_hit_rate,cond_fa_rate,RT_present,RT_absent,conf_present,conf_absent
545d347afdf99b7f9fca22c7,A,1,,0.0,46.5,-199.5,-0.0078125,-0.08944444444444499
545d347afdf99b7f9fca22c7,A,2,,0.0,964.5,207.0,0.09496527777777786,0.08069444444444451
545d347afdf99b7f9fca22c7,A,3,,0.3333333333333333,-126.5,457.5,0.09496527777777786,0.101527777777778
545d347afdf99b7f9fca22c7,A,4,,0.3333333333333333,-263.5,2606.5,0.09496527777777786,-0.02486111111111089
545d347afdf99b7f9fca22c7,A,5,,1.0,46.5,,-0.23697916666666685,
545d347afdf99b7f9fca22c7,A,6,,0.6666666666666666,-71.5,258.0,0.09496527777777786,0.05986111111111103
545d347afdf99b7f9fca22c7,A,7,,0.2,446.0,-235.0,-0.03350694444444435,-0.011666666666666714
545d347afdf99b7f9fca22c7,A,8,,0.6666666666666666,-24.5,-983.0,-0.23697916666666685,0.221666666666667
545d347afdf99b7f9fca22c7,A,9,,0.3333333333333333,1412.5,700.0,-0.23697916666666685,0.03833333333333355
545d347afdf99b7f9fca22c7,A,10,,1.0,1412.5,,0.09496527777777786,
545d347afdf99b7f9fca22c7,A,11,,0.5,1412.5,664.5,-0.23697916666666685,-0.024166666666666448
545d347afdf99b7f9fca22c7,A,12,,0.25,560.5,35.5,-0.20892361111111135,0.042037037037036984
545d347afdf99b7f9fca22c7,A,13,,1.0,738.5,,-0.15827546296296313,
545d347afdf99b7f9fca22c7,A,14,,0.75,481.5,-434.5,-0.16197916666666656,-0.10194444444444495
545d347afdf99b7f9fca22c7,A,15,,0.5,-91.5,422.0,0.09496527777777786,-0.14430555555555535
545d347afdf99b7f9fca22c7,A,16,,0.6666666666666666,421.5,-743.5,-0.03350694444444435,0.221666666666667
545d347afdf99b7f9fca22c7,A,17,,0.3333333333333333,-41.5,7.5,0.09496527777777786,0.048402777777777795
545d347afdf99b7f9fca22c7,A,18,,0.0,-91.5,-1222.5,0.09496527777777786,0.221666666666667
545d347afdf99b7f9fca22c7,S,1,0.6666666666666666,0.6666666666666666,0.0,-45.0,,
545d347afdf99b7f9fca22c7,S,2,0.5,0.2,11.0,98.0,,
545d347afdf99b7f9fca22c7,S,3,0.8,0.4,-134.0,-11.0,,
545d347afdf99b7f9fca22c7,S,4,0.6666666666666666,,-100.0,,,
545d347afdf99b7f9fca22c7,S,5,0.5,0.5,-362.0,-24.0,,
545d347afdf99b7f9fca22c7,S,6,0.75,0.0,103.5,-45.0,,
545d347afdf99b7f9fca22c7,S,7,0.6666666666666666,0.2,-633.0,-28.0,,
545d347afdf99b7f9fca22c7,S,8,0.6666666666666666,0.0,224.5,-11.0,,
545d347afdf99b7f9fca22c7,S,9,0.75,0.0,-103.5,457.0,,
545d347afdf99b7f9fca22c7,S,10,0.75,0.5,450.5,-24.0,,
545d347afdf99b7f9fca22c7,S,11,,0.5,,186.0,,
545d347afdf99b7f9fca22c7,S,12,1.0,0.25,-30.5,396.0,,
545d347afdf99b7f9fca22c7,S,13,0.0,0.3333333333333333,,463.5,,
545d347afdf99b7f9fca22c7,S,14,0.5,0.0,-706.5,377.5,,
545d347afdf99b7f9fca22c7,S,15,1.0,0.0,103.5,-24.0,,
